recipe_id,strict_score,yield_score,p_robust_valid,p_margin_risk,p_under_exposed,p_merged,p_roughness_degraded,p_numerical_invalid,mean_cd_fixed,std_cd_fixed,mean_cd_locked,std_cd_locked,mean_ler_locked,std_ler_locked,mean_p_line_margin,std_p_line_margin,strict_cd_pen,strict_ler_pen,strict_cd_std_pen,strict_ler_std_pen,strict_margin_bonus,cd_error_penalty,ler_penalty,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,_oat_knob,_oat_step,_oat_value,_pair_k1,_pair_k2,_pair_i,_pair_j,_pair_v1,_pair_v2
K_base,0.6452632750603119,0.9998000000000001,0.9999000000000001,6.666666666666667e-05,0.0,3.3333333333333335e-05,0.0,0.0,15.041070518094868,0.3904621074805188,12.468866846450569,0.29194093768171975,2.535902006260472,0.0203313572801538,0.18436424472362958,0.009099570681901705,0.0,0.0,0.7809242149610376,0.0203313572801538,0.18436424472362958,0.0,0.0,24.0,0.52,52.676753897219896,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,,,,,,
K_oat_dose_mJ_cm2_00,0.6627192652925458,0.9509000000000003,0.9778000000000003,0.012383333333333336,0.007683333333333337,0.0009333333333333325,8.333333333333333e-05,0.0011166666666666658,14.923723602617411,0.32397211311837215,12.451598981286487,0.28592521208842664,2.533970020168044,0.01941764688392635,0.1820008074115234,0.008769386144657958,0.0,0.0,0.6479442262367443,0.01941764688392635,0.1820008074115234,0.0,0.0,24.0,0.52,47.40907850749791,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,dose_mJ_cm2,0,47.40907850749791,,,,,,
K_oat_dose_mJ_cm2_01,0.703734679173137,0.9770333333333338,0.9899500000000004,0.005049999999999999,0.004,0.0005833333333333331,1.6666666666666667e-05,0.00039999999999999986,14.928092544392502,0.3094781912667334,12.457808116753727,0.28226505102990185,2.534017145948652,0.019096372304917106,0.1829108930359807,0.00816016532906875,0.0,0.0,0.6189563825334669,0.019096372304917106,0.1829108930359807,0.0,0.0,24.0,0.52,48.462613585442305,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,dose_mJ_cm2,1,48.462613585442305,,,,,,
K_oat_dose_mJ_cm2_02,0.6695330125917826,0.9986500000000001,0.9994666666666667,0.0002,0.00023333333333333333,5e-05,0.0,5e-05,14.935053144188135,0.36456243330583415,12.458926974506648,0.2893710133601759,2.5351667189830107,0.019845110149691,0.1814720038898481,0.008645507326788959,0.0,0.0,0.7291248666116683,0.019845110149691,0.1814720038898481,0.0,0.0,24.0,0.52,49.5161486633867,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,dose_mJ_cm2,2,49.5161486633867,,,,,,
K_oat_dose_mJ_cm2_03,0.6646888467020904,0.9998500000000001,0.9999166666666668,6.666666666666667e-05,0.0,1.6666666666666667e-05,0.0,0.0,14.928654056492737,0.3714850128805278,12.416451261332117,0.28077186048574426,2.5339097576780274,0.018486403216443195,0.18226824476335857,0.007724909291066721,0.0,0.0,0.7429700257610556,0.018486403216443195,0.18226824476335857,0.0,0.0,24.0,0.52,50.569683741331104,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,dose_mJ_cm2,3,50.569683741331104,,,,,,
K_oat_dose_mJ_cm2_04,0.6453283718823369,0.9996750000000001,0.9998500000000001,6.666666666666667e-05,0.0,3.3333333333333335e-05,5e-05,0.0,15.033289454803548,0.3907286710649232,12.476769706916716,0.29802548553631003,2.536279029346244,0.019495448438691595,0.18451906866642315,0.007653931339456393,0.0,0.0,0.7814573421298464,0.019495448438691595,0.18451906866642315,0.0,0.0,24.0,0.52,51.6232188192755,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,dose_mJ_cm2,4,51.6232188192755,,,,,,
K_oat_dose_mJ_cm2_05,0.6950335058877535,0.9996916666666668,0.9998666666666668,3.3333333333333335e-05,0.0,1.6666666666666667e-05,8.333333333333333e-05,0.0,15.038991907130448,0.3411236473766406,12.485640386599249,0.2883593327735909,2.5365050518191237,0.01914895473476665,0.18415985586044264,0.00887653345095253,0.0,0.0,0.6822472947532812,0.01914895473476665,0.18415985586044264,0.0,0.0,24.0,0.52,52.676753897219896,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,dose_mJ_cm2,5,52.676753897219896,,,,,,
K_oat_dose_mJ_cm2_06,0.6332781502819016,0.9996583333333334,0.9998666666666668,1.6666666666666667e-05,0.0,5e-05,6.666666666666667e-05,0.0,15.041292839957434,0.4030376853261944,12.448520450931873,0.2842345909171006,2.5350844758567788,0.0192931580734138,0.18521632524587786,0.009504473126904476,0.0,0.0,0.8060753706523888,0.0192931580734138,0.18521632524587786,0.0,0.0,24.0,0.52,53.73028897516429,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,dose_mJ_cm2,6,53.73028897516429,,,,,,
K_oat_dose_mJ_cm2_07,0.6169147359453504,0.999925,0.9999666666666667,1.6666666666666667e-05,0.0,1.6666666666666667e-05,0.0,0.0,15.042798775986407,0.4193530394325552,12.438336412188198,0.30979497350106794,2.5385131605515814,0.020507099311610367,0.18638530013484303,0.009671230202720787,0.0,0.0,0.8387060788651104,0.020507099311610367,0.18638530013484303,0.0,0.0,24.0,0.52,54.78382405310869,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,dose_mJ_cm2,7,54.78382405310869,,,,,,
K_oat_dose_mJ_cm2_08,0.6441692278445394,0.999825,0.9999333333333333,1.6666666666666667e-05,0.0,5e-05,0.0,0.0,15.080926085886876,0.39328222458221235,12.440023350940482,0.27260581066818945,2.534023927697597,0.018808478101637563,0.1881227659102821,0.009673874728100993,0.0,0.0,0.7865644491644247,0.018808478101637563,0.1881227659102821,0.0,0.0,24.0,0.52,55.83735913105309,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,dose_mJ_cm2,8,55.83735913105309,,,,,,
