recipe_id,rank_06c,rank_06a_rescore,yield_score_06c,yield_score_06a,p_robust_valid_06c,p_robust_valid_06a,mean_cd_fixed_06c,mean_cd_fixed_06a,mean_ler_locked_06c,mean_ler_locked_06a,cd_error_penalty_06c,ler_penalty_06c,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,min_dist_to_06a_top100
D_1243,1,396,1.0,0.5487685920315793,1.0,0.959966666666666,15.29162380591322,16.355073074635087,2.5376672451193754,2.5273078075085764,0.0,0.0,24.0,0.52,52.952189340256155,0.6573477387428284,0.47568279430270194,33.43297273851931,0.2021333150751889,0.4906858271919191,0.011134928120300173,1.5573461670428514,50.0,0.2633483915926259
D_812,2,781,0.9999583333333333,0.29107409922489613,0.9999833333333333,0.9587166666666664,14.854298687223457,16.59924256744177,2.5408464555049317,2.5310786462088344,0.0,0.0,24.0,0.52,52.489258121699095,0.1931153442710638,0.4951038148254156,29.144660155288875,0.20280318291857838,0.5752463086508215,0.008649151157587767,1.3841324714012444,50.0,0.26348026992430373
D_1513,3,1774,0.999925,-0.5017868237462524,0.99995,0.9071666666666668,15.43796641281254,17.289295157079586,2.543436619164305,2.595553744033332,0.0,0.0,24.0,0.52,57.739948318339884,0.2753005949780345,0.3883114458993077,31.595399980433285,0.21976879190653564,0.6074707061052322,0.009825902944430708,1.1671670558862388,50.0,0.45497380433982276
D_3225,4,363,0.999925,0.5724648721053076,0.99995,0.9360666666666673,15.551066402377828,16.270010127894693,2.5413473010554224,2.5227439956606816,0.0,0.0,24.0,0.52,59.955185344442725,0.19484605081379414,0.4984213786199689,32.54462571814656,0.20058580998331307,0.5513192222453653,0.016071795606985687,1.0864991042762995,50.0,0.3363407299415674
D_29,5,19,0.99985,0.8472249999999996,0.9999333333333333,0.9353999999999995,14.285073715726494,15.365077555290414,2.545528766378613,2.525320629451953,0.0,0.0,24.0,0.52,54.815631047822535,0.03002660907804966,0.3794054176658392,26.620803335681558,0.2037108673620969,0.5268380688503385,0.011666939109563828,1.5449687978252769,50.0,0.32216998937304014
D_4593,6,758,0.9996250000000001,0.30472006852890754,0.9998666666666668,0.9723833333333336,15.120192735218684,16.626604931471093,2.5390369949253095,2.525472291818217,0.0,0.0,24.0,0.52,54.4862330686301,0.5168475955724716,0.4447053151205182,35.66634920891374,0.18961607231758534,0.5720053535886109,0.021670072115957735,1.0442101648077369,50.0,0.28479103506619813
D_1752,7,80,0.998716666666667,0.7724273403520433,0.9994666666666671,0.8924000000000002,15.111848476068513,16.015639326314624,2.5410027018267063,2.5301491582554534,0.0,0.0,24.0,0.52,55.48730645701289,0.06497154291719198,0.500106573291123,30.237314272671938,0.21844692035578192,0.5157025554217398,0.014249971406534313,1.000605819746852,50.0,0.4385387289548518
D_2652,8,1314,0.9983000000000006,-0.09898347445695777,0.9991333333333339,0.9658499999999992,14.970213002865659,17.01366680779029,2.5406278950029484,2.5355539993598284,0.0,0.0,24.0,0.52,50.27633666899055,0.27707752492278814,0.38451036922633647,36.74058944918215,0.18684964636340737,0.5565899247303605,0.017249463759362697,1.26831394713372,50.0,0.36759648129134603
D_1963,9,21,0.998041666666667,0.8456661476764936,0.9992833333333337,0.9662999999999993,14.692710769828143,16.060750518990172,2.536178580908282,2.579702661123394,0.0,0.0,24.0,0.52,49.73868596646935,0.7941266912966967,0.4155564738437533,27.66520258039236,0.19111348493024707,0.5919772020541132,0.007932742070406675,0.9569138027727604,50.0,0.2729468266891178
D_2899,10,1508,0.9973250000000007,-0.24623404724989528,0.9989666666666673,0.9262333333333334,14.797952219994832,17.064075713916562,2.539949218553164,2.5213141121672096,0.0,0.0,24.0,0.52,59.393913810141385,0.11198273207992315,0.43516744785010814,35.399154857732356,0.17993396399542688,0.570628852583468,0.015809983648359775,0.7819570177234709,50.0,0.38546173293508473
D_4350,11,178,0.9966666666666673,0.6951913714301111,0.9987166666666673,0.9648166666666654,14.726958713066573,16.21631696190322,2.540126028757875,2.5253887182073607,0.0,0.0,24.0,0.52,56.3290850892663,0.588140532374382,0.37109484542161225,34.71553212031722,0.18373005981557072,0.5580013302154839,0.02029613669961691,1.9054748849011958,50.0,0.27824543536805335
D_3536,12,287,0.9949750000000009,0.6230583100869789,0.9983166666666676,0.9522166666666665,14.488885565547145,16.243050023246354,2.5387797379870727,2.522280086831567,0.0,0.0,24.0,0.52,58.21643159072846,0.7871274221688509,0.3263567278161645,26.05789413675666,0.20195914573036133,0.5717279964126647,0.014460683595389127,1.3070269306190312,50.0,0.37491116689319576
D_2146,13,1282,0.9934750000000017,-0.06749218834091442,0.9968000000000017,0.9321666666666669,14.542726244826783,16.892642188340915,2.5468697132269047,2.582855886263663,0.0,0.0,24.0,0.52,57.45745566487312,0.3220409257337451,0.32825823239982127,32.86919340491295,0.1784540202561766,0.6249055511318147,0.020234021712094544,0.6211664425209165,50.0,0.23715301065036673
D_1569,14,9,0.9931166666666686,0.8669583333333342,0.996250000000002,0.9411166666666675,14.340834586944457,15.375707980588022,2.539623646492602,2.5266614979893247,0.0,0.0,24.0,0.52,51.12789114564657,0.5926171643659472,0.4610137247480452,31.19447445962578,0.17164000878110527,0.5062200882472098,0.007242759279906749,1.1027166899293661,50.0,0.3537753871348123
D_1457,15,1322,0.9929000000000016,-0.10942664875767394,0.9969500000000017,0.9654666666666669,15.153862048996077,17.017226648757674,2.54092955146591,2.567149795083576,0.0,0.0,24.0,0.52,40.75216315314174,0.34242468047887087,0.4445094374939799,35.098092425614595,0.1991005108039826,0.5925591707229614,0.012905460242182016,0.8692088257521391,50.0,0.2325437363043207
D_2564,16,5,0.9923583333333338,0.8886000000000003,0.996666666666667,0.9504000000000004,14.362938499857568,15.007234826756743,2.539447583094329,2.5244976840611875,0.0,0.0,24.0,0.52,47.90880020521581,0.3502208227291703,0.4553877890110016,26.961977551691234,0.20535983414389192,0.5433812702074647,0.020483744340017436,1.7069888641126454,50.0,0.27576166927642914
D_884,17,1973,0.992000000000001,-0.7055675672511679,0.9966833333333344,0.9523166666666658,15.21097432622268,17.5712009005845,2.5441041811142986,2.603370177665916,0.0,0.0,24.0,0.52,49.98298026714474,0.30746882781386375,0.3140278860926628,37.334829131141305,0.18873959445394575,0.6001736952923238,0.013619013978168368,1.7669601729139686,50.0,0.4090060529046881
D_2413,18,1626,0.9917750000000014,-0.35125643309365895,0.9959000000000015,0.945399999999999,15.256715039913662,17.23368976642699,2.540501519365152,2.6391912315415733,0.0,0.0,24.0,0.52,53.20566984079778,0.062324951402843,0.4875574421137571,37.67743683885783,0.18601450157351793,0.6202331117354334,0.021732126418501137,1.4818818350322545,50.0,0.4092100862064832
D_703,19,53,0.9916416666666683,0.7939416666666667,0.9964500000000016,0.9008666666666667,14.303354096242265,15.399295202545797,2.5468628551823214,2.53234308996265,0.0,0.0,24.0,0.52,49.1897296635434,0.027078422717750072,0.4404925496317446,28.278675749897957,0.18317157929763198,0.49873573407530786,0.007117841932922602,0.7702709515579045,50.0,0.3851077503511566
D_3715,20,43,0.9885083333333342,0.8130738186981297,0.9960500000000009,0.9644166666666669,14.743130284889046,16.10365118130187,2.5356321358958724,2.513237133974579,0.0,0.0,24.0,0.52,50.664049490354955,0.9182706819847226,0.3454134764149785,28.259433321654797,0.1929865100700408,0.55074652004987,0.019301321106031537,0.6340487375855446,50.0,0.3350653025951009
D_1214,21,1480,0.988200000000002,-0.22486785945039567,0.9940333333333353,0.9288666666666664,14.540658117513797,17.055892859450395,2.5424692244872973,2.568100377985045,0.0,0.0,24.0,0.52,49.87775951810181,0.036023964174091816,0.3772514222189784,36.83091053273529,0.17410944811068474,0.5784630939364434,0.01452896224334836,1.3216914250515401,50.0,0.4187209087944059
D_665,22,384,0.9876416666666674,0.5583257305338639,0.9947333333333341,0.9414499999999992,15.09424353651613,16.30998260279947,2.538827399832593,2.5393623425356946,0.0,0.0,24.0,0.52,50.73750756215304,0.5445460332557559,0.5550958315841854,29.319834085181355,0.21286699164658784,0.5655178725719452,0.015431931987404822,1.1146795614622533,50.0,0.261390023864248
D_4521,23,206,0.9874666666666669,0.6764558920405137,0.9947166666666669,0.9389333333333333,14.6571396253104,16.184135774626153,2.5415312681646416,2.5269421004191788,0.0,0.0,24.0,0.52,47.09068795200437,0.4495633263140917,0.3915287984535098,27.450293889269233,0.21024967096745967,0.5471646559424699,0.015594903202727436,0.6069082287140191,50.0,0.3256391067725294
D_3261,24,1197,0.9873083333333363,-0.004476411864987928,0.994650000000003,0.9562999999999994,14.890495874729691,16.891101411864987,2.535784152932105,2.6016248724949658,0.0,0.0,24.0,0.52,57.2322229295969,0.77948631439358,0.398535624332726,32.130822287872434,0.18171229345723985,0.6330900370143354,0.018185812225565312,1.2583624515682459,50.0,0.29805845723456875
D_333,25,1181,0.9868416666666683,0.002407466752213483,0.9926333333333349,0.9505666666666671,15.446066695137542,16.868542533247787,2.5402296981863093,2.576971531569512,0.0,0.0,24.0,0.52,54.0354684535414,0.5905027147382498,0.3256222439929843,39.53690014779568,0.19474596517160536,0.48823243295773866,0.018135907435789703,1.695853357668966,50.0,0.40111314851113383
D_3572,26,2886,0.9864250000000023,-1.9319561138280879,0.9937666666666689,0.9390500000000004,15.945978791539744,18.76303944716142,2.540646721218205,2.656266266020714,0.0,0.0,24.0,0.52,56.064394005574286,0.19992093835026026,0.4769609237089753,38.97149854339659,0.1819961553160101,0.6212070397101344,0.012355507649481297,1.13753590779379,50.0,0.538521726282113
D_491,27,285,0.986241666666668,0.6242093826892169,0.9951333333333346,0.9471500000000006,14.885620335489147,16.241790617310784,2.5380824285281536,2.5396769098726097,0.0,0.0,24.0,0.52,51.231903112493455,0.512689171358943,0.5242713659070433,30.886637214571238,0.19228571258485316,0.5219774814322591,0.005860399017110466,0.7979915202595294,50.0,0.34587704127695096
D_366,28,582,0.9859833333333344,0.41346459275159,0.9928166666666678,0.9501166666666669,14.879436728061624,16.465327073915077,2.5360221016829763,2.556206410458587,0.0,0.0,24.0,0.52,40.992868300527334,0.805999799631536,0.5304208874702454,29.901939099654555,0.19604837901890276,0.600763563066721,0.01050570166669786,1.50054416898638,50.0,0.3134959120734397
D_2118,29,26,0.9856000000000003,0.8369333333333329,0.993266666666667,0.9324666666666662,15.444991185354738,15.963532170717453,2.5348921989076634,2.523789548850711,0.0,0.0,24.0,0.52,59.57106167636812,0.8598314635455608,0.47495640181005,32.45539686642587,0.19458033657632767,0.5571890600956977,0.022340343743562696,1.917053465731442,50.0,0.3389145264661559
D_3980,30,24,0.984716666666668,0.8391416666666663,0.994016666666668,0.9330666666666663,14.719519821708822,15.653416647456838,2.53557984361136,2.5239923194708633,0.0,0.0,24.0,0.52,59.78934307862073,0.9426943408325315,0.5366959126666189,29.6008739201352,0.18241894849576057,0.5460093500092625,0.02079301712103188,1.4718873570673168,50.0,0.4020350643708828
D_310,31,1603,0.983683333333334,-0.33061589100194577,0.9939333333333341,0.94505,15.776067856043483,17.186290891001946,2.536762868727428,2.5351139237934395,0.0,0.0,24.0,0.52,58.12526217196137,0.9199784779921174,0.33359766118228434,33.404580554924905,0.2125670304801315,0.575817883759737,0.01176241898909211,1.836588649544865,50.0,0.32101461721846275
